Nr. p. k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Adrese,Epasts,Tālrunis,Direktors,Bērnu skaits pirmsskolas programmās,Izglītojamo skaits 1. - 12. klasē
616,TALSU NOVADS,4112900612,Pūņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Pūņu pamatskola"", PŪŅAS, VALDGALES PAGASTS, TALSU NOVADS, LV-3253",punupamatskola@talsi.lv,63222935,MONTA JĒKABSONE,43,62
617,TALSU NOVADS,4112903179,Sabiles pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"VENTSPILS IELA 17a, SABILE, TALSU NOVADS, LV-3294",sabilespamatskola@talsi.lv,"63232301, 63232302",RUDĪTE BLĀZE,0,118
618,TALSU NOVADS,4113801678,Talsu Kristīgā vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JUSTĪNA GROTA IELA 1, TALSI, TALSU NOVADS, LV-3201",bernateanda@gmail.com,"63291670, 29412565",INGUNA GRUZNIŅA,0,300
619,TALSU NOVADS,4113900616,Valdemārpils vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 3, VALDEMĀRPILS, TALSU NOVADS, LV-3260",valdemarpils.vidusskola@talsi.lv,63291102,ANDRIS DZENIS,0,219
620,TALSU NOVADS,4113900617,Talsu 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KĀRĻA MĪLENBAHA IELA 32, TALSI, TALSU NOVADS, LV-3201",talsu2vidusskola@talsi.lv,"63232160, 63232161",OĻEGS SOLOVJOVS,0,796
621,TALSU NOVADS,4113903381,Talsu novada vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KĀRĻA MĪLENBAHA IELA 30, TALSI, TALSU NOVADS, LV-3201",novadavidusskola@talsi.lv,"63232206, 63232207",DANA KALAŠŅIKOVA,0,162
622,TALSU NOVADS,4119902544,Talsu Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"BRĪVĪBAS IELA 29, TALSI, TALSU NOVADS, LV-3201",talsugimnazija@talsi.lv,63291765,GUNDARS SEBRIS,0,624
623,TALSU NOVADS,4122901278,Upesgrīvas pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Upesgrīvas skola"", UGUŅCIEMS, VANDZENES PAGASTS, TALSU NOVADS, LV-3284",upesgriva.skola@gmail.com,63254505,MAIJA AVENIŅA,0,36
624,TĒRVETES NOVADS,4512903043,Annas Brigaderes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Annas Brigaderes skola"" , KROŅAUCE, TĒRVETES PAGASTS, TĒRVETES NOVADS, LV-3730",brigaderes.psk@skolas.zemgale.lv,63768519,ALDIS TISENKOPFS,97,138
625,TĒRVETES NOVADS,4512903390,Augstkalnes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Ezerpils"", AUGSTKALNE, AUGSTKALNES PAGASTS, TĒRVETES NOVADS, LV-3709",augstkalnes.vsk@skolas.zemgale.lv,63729459,IEVA KRŪMIŅA,47,120
626,TUKUMA NOVADS,4311900233,Sēmes sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"EZERA IELA 17, SĒME, SĒMES PAGASTS, TUKUMA NOVADS, LV-3110",semesskola@tukums.lv,26162549,NATĀLIJA LIEPIŅA,105,26
627,TUKUMA NOVADS,4312900227,Pūres pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", PŪRES PAGASTS, TUKUMA NOVADS, LV-3124",puresskola@tukums.lv,63191207,DACE STRAZDIŅA,46,229
628,TUKUMA NOVADS,4312900232,Tukuma E. Birznieka-Upīša 1. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LIELĀ IELA 9, TUKUMS, TUKUMA NOVADS, LV-3101",1.pamatskola@tukums.lv,63122189,LĪGA ZAĶE,0,409
629,TUKUMA NOVADS,4312900235,Džūkstes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Džūkstes skola"", DŽŪKSTE, DŽŪKSTES PAGASTS, TUKUMA NOVADS, LV-3147",dzukstevsk@tukums.parks.lv,63154656,INGA RIEŽNIECE,67,86
630,TUKUMA NOVADS,4312900238,Tukuma 3. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LIELĀ IELA 18, TUKUMS, TUKUMA NOVADS, LV-3101",3.pamatskola@tukums.lv,"63122477, 63122337",SVETLANA HADAKOVSKA,35,206
631,TUKUMA NOVADS,4312902393,Tukuma 2. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"J. RAIŅA IELA 3A, TUKUMS, TUKUMA NOVADS, LV-3101",2.pamatskola@tukums.lv,"63125374, 63125351",DZINTRA RĪBENA,0,476
632,TUKUMA NOVADS,4312903217,Irlavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Irlavas skola"", IRLAVA, IRLAVAS PAGASTS, TUKUMA NOVADS, LV-3137",irlavasskola@tukums.lv,"+31762303833, +37126559884",AIVA PLATACE,67,117
633,TUKUMA NOVADS,4312903286,Tumes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1C, TUME, TUMES PAGASTS, TUKUMA NOVADS, LV-3139",tumesskola@tukums.lv,29384551,INGA DĀVIDSONE,35,143
634,TUKUMA NOVADS,4313900224,Tukuma 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RAUDAS IELA 16, TUKUMS, TUKUMA NOVADS, LV-3101",2.vidusskola@tukums.lv,"63123084, 63124383",ANITA LOCĀNE,0,759
635,TUKUMA NOVADS,4313900250,Zemgales vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""ZEMGALES VIDUSSKOLA"", SLAMPE, SLAMPES PAGASTS, TUKUMA NOVADS, LV-3119",zevidzevid@inbox.lv,"27009093, 22003940",LIENE TĀSSE,0,466
636,TUKUMA NOVADS,4316902392,Tukuma Raiņa ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Ģimnāzija,"J. RAIŅA IELA 3, TUKUMS, TUKUMA NOVADS, LV-3101",gimnazija@tukumagimn.lv,"63122396, 63122003",SIGITA KŪLA,0,294
637,TUKUMA NOVADS,4322903223,Tukuma novada speciālās izglītības iestāde,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Lamiņu muiža"", LAMIŅI, PŪRES PAGASTS, TUKUMA NOVADS, LV-3124",linda.otto@tukums.lv,"20191947, 63125527",SILVA FREIMANE,22,164
638,VAIŅODES NOVADS,4113900999,Vaiņodes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AVOTU IELA 4, VAIŅODE, VAIŅODES PAGASTS, VAIŅODES NOVADS, LV-3435",vvskola@inbox.lv,63464423,ZIGMUNDS MICKUS,0,250
639,VALKAS NOVADS,4411903242,Vijciema sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"""Druvas"", VIJCIEMS, VIJCIEMA PAGASTS, VALKAS NOVADS, LV-4733",vijciems.skola@valka.lv,"64728179, 28346590",AĪDA VĪTOLA,30,25
640,VALKAS NOVADS,4412901220,Ērģemes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Ērģemes skola"", ĒRĢEME, ĒRĢEMES PAGASTS, VALKAS NOVADS, LV-4711",ergeme.skola@valka.lv,"64725338,  64725349",GITA AVOTE,52,83
641,VALKAS NOVADS,4413903137,Valkas Jāņa Cimzes ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RAIŅA IELA 28A, VALKA, VALKAS NOVADS, LV-4701",gimnazija@valka.lv,"64707271,26540200",LILITA KREICBERGA,15,599
642,VALMIERA,2511902432,Valmieras Pārgaujas sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",vps@valmiera.edu.lv,64235307,VIKTORS LITAUNIEKS,0,648
643,VALMIERA,2511902507,Valmieras sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",vs@valmiera.edu.lv,64224237,MĀRTIŅŠ VĒTRA,0,555
644,VALMIERA,2512803021,Universum mūzikas un mākslas pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"MARIJAS IELA 14, VALMIERA, LV-4201",skola@universum.lv,"28380104, 64221242",ANDIS APSĪTIS,123,241
645,VALMIERA,2512803261,Privātā pamatskola ZAĻĀ SKOLA,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"STRAZDU IELA 2, VALMIERA, LV-4201",valmieraszalaskola@gmail.com,29218092,LIGIJA FRIŠFELDE,56,33
646,VALMIERA,2513900631,Valmieras Viestura vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",vvv@valmiera.edu.lv,64222436,ULDIS JANSONS,0,820
647,VALMIERA,2513901058,Valmieras 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",v2v@valmiera.edu.lv,64281559,ANDREJS GLUHOVS,127,412
648,VALMIERA,2513901081,Valmieras 5. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",v5vadm@valmiera.edu.lv,64222443,RUDĪTE MARKUS,0,495
649,VALMIERA,2519902526,Valmieras Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",valmgimn@valmiera.edu.lv,64222459,ARTŪRS SKRASTIŅŠ,0,422
650,VALMIERA,2519903334,Valmieras Pārgaujas Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",vpvg@valmiera.edu.lv,"64207515, 29502385, 64207513",AGITA ZARIŅA,0,589
651,VALMIERA,2524903208,Valmieras Gaujas krasta vidusskola - attīstības centrs,Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"LĀČPLĒŠA IELA 2, VALMIERA, LV-4201",vgv@valmiera.edu.lv,"64222475, 64207380",IVETA KĻAVIŅA,101,179
652,VARAKĻĀNU NOVADS,4412900113,Murmastienes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RĒZEKNES IELA 1, MURMASTIENE, MURMASTIENES PAGASTS, VARAKĻĀNU NOVADS, LV-4835",murmastienessk@varaklani.lv,27790024,INGUNA PELŠE,12,19
653,VARAKĻĀNU NOVADS,4413900128,Varakļānu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JAUNATNES IELA 2, VARAKĻĀNI, VARAKĻĀNU NOVADS, LV-4838",varaklanuvsk@gmail.com,64807085,JURIS DALECKIS,0,241
654,VĀRKAVAS NOVADS,4213900377,Vārkavas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 4, VECVĀRKAVA, UPMALAS PAGASTS, VĀRKAVAS NOVADS, LV-5335",varkavasvsk@pvg.edu.lv,65326655,INTA KIVLENIECE,15,123
655,VECPIEBALGAS NOVADS,4412903241,Vecpiebalgas novada pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", DZĒRBENE, DZĒRBENES PAGASTS, VECPIEBALGAS NOVADS, LV-4118",pamatskola@vecpiebalga.lv,"26336356, 26415585",ANDRIS SAKSS,79,78
656,VECPIEBALGAS NOVADS,4413900341,Vecpiebalgas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GAISMAS IELA 2, VECPIEBALGA, VECPIEBALGAS PAGASTS, VECPIEBALGAS NOVADS, LV-4122",vecpiebalga.vsk@vecpiebalga.lv,64161448,ILONA STRELKOVA,89,198
657,VECUMNIEKU NOVADS,4512803269,"Bārbeles Zēnu pamatskola ""Saknes un spārni""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Bārbeles pamatskola"", BĀRBELES PAGASTS, VECUMNIEKU NOVADS, LV-3905",skola@barbele.lv,29264639,ILONA BLŪMA,9,14
658,VECUMNIEKU NOVADS,4512901304,Stelpes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Stelpes pamatskola"", VECSTELPE, STELPES PAGASTS, VECUMNIEKU NOVADS, LV-3925",stelpesskola@inbox.lv,63945103,DAGMĀRA VENCLOVA,23,54
659,VECUMNIEKU NOVADS,4512903308,Valles pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RĪGAS IELA 4, VALLE, VALLES PAGASTS, VECUMNIEKU NOVADS, LV-5106",valle.skola@vecumnieki.lv,65152856,GITA ERIŅA,0,75
660,VECUMNIEKU NOVADS,4512903359,Misas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SAULES IELA 6, MISA, VECUMNIEKU PAGASTS, VECUMNIEKU NOVADS, LV-3933",misa.skola@vecumnieki.lv,"29241014, 28354097, 29488239, 63976862",ANNA BALGALVE,58,95
661,VECUMNIEKU NOVADS,4513901289,Skaistkalnes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 5, SKAISTKALNE, SKAISTKALNES PAGASTS, VECUMNIEKU NOVADS, LV-3924",skaistkalne.skola@vecumnieki.lv,63933101,SVETLANA VĀVERNIECE,51,167
662,VECUMNIEKU NOVADS,4513901290,Vecumnieku vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĪGAS IELA 24, VECUMNIEKI, VECUMNIEKU PAGASTS, VECUMNIEKU NOVADS, LV-3933",vecumnieki.skola@vecumnieki.lv,63960595,AIVARS ĶIŅĶEVSKIS,212,413
663,VENTSPILS,3211902422,Ventspils Centra sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"SAULES IELA 37, VENTSPILS, LV-3601",centra.sakumskola@ventspils.lv,63629937,LIĀNA BIEZBĀRDE,0,317
664,VENTSPILS,3212900030,Ventspils 1. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PĻAVAS IELA 27, VENTSPILS, LV-3601",1.pamatskola@ventspils.lv,63622643,SANDRA ŠULCE,31,435
665,VENTSPILS,3212900031,Ventspils 2. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"BĒRZU IELA 54, VENTSPILS, LV-3600",2.pamatskola@ventspils.lv,63622964,SINTIJA BIRZIŅA,0,388
666,VENTSPILS,3212903148,Ventspils Pārventas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"TĀRGALES IELA 61, VENTSPILS, LV-3602",parventas.pamatskola@ventspils.lv,"63662589, 63662529",VĒSMA LAURECKA,16,313
667,VENTSPILS,3213900033,Ventspils 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KULDĪGAS IELA 65, VENTSPILS, LV-3601",2.vidusskola@ventspils.lv,63622211,INĀRA KEIŠA,0,493
668,VENTSPILS,3213900034,Ventspils 3. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"TĀRGALES IELA 5, VENTSPILS, LV-3602",3.vidusskola@ventspils.lv,63624505,VERA ŠENGELIJA,0,310
669,VENTSPILS,3213900035,Ventspils 4. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĪGAS IELA 12a, VENTSPILS, LV-3601",4.vidusskola@ventspils.lv,63624006,INGA BUŽOKA,18,675
670,VENTSPILS,3213900037,Ventspils 6. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SARKANMUIŽAS DAMBIS 1, VENTSPILS, LV-3601",6.vidusskola@ventspils.lv,63621586,VALENTĪNA JANKOVSKA,0,638
671,VENTSPILS,3219903101,Ventspils Valsts 1. ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"KULDĪGAS IELA 1, VENTSPILS, LV-3601",gimnazija@ventspils.lv,63622595,PĀRSLA KOPMANE,0,416
672,VENTSPILS NOVADS,4112900046,Zūru pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 10, VENTAVA, VĀRVES PAGASTS, VENTSPILS NOVADS, LV-3623",zurupsk@ventspilsnd.lv,22041992,IVETA MĀTERE,32,142
673,VENTSPILS NOVADS,4112900047,Užavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Kalves"", UŽAVA, UŽAVAS PAGASTS, VENTSPILS NOVADS, LV-3627",uzavaspsk@ventspilsnd.lv,26331028,GUNTRA MAGONĪTE,20,66
674,VENTSPILS NOVADS,4112900049,Popes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Popes pamatskola"", POPE, POPES PAGASTS, VENTSPILS NOVADS, LV-3614",popespsk@ventspilsnd.lv,63681055 63681066,LIGITA LUKŠEVICA,0,64
675,VENTSPILS NOVADS,4112900050,Tārgales pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Tārgales skola"", TĀRGALE, TĀRGALES PAGASTS, VENTSPILS NOVADS, LV-3621",targalespsk@ventspilsnd.lv,63620504 25411196,ILZE JUDZIKA,72,125
676,VENTSPILS NOVADS,4112900052,Ances pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Skola"", ANCE, ANCES PAGASTS, VENTSPILS NOVADS, LV-3612",ancespsk@ventspilsnd.lv,26124913,ELITA KUĢENIECE,23,56
677,VENTSPILS NOVADS,4112900054,Puzes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Puzes pamatskola"", BLĀZMA, PUZES PAGASTS, VENTSPILS NOVADS, LV-3613",puzespsk@ventspilsnd.lv,25428747,NELLIJA SILEVIČA,39,69
678,VENTSPILS NOVADS,4113900055,Ugāles vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 5A, UGĀLE, UGĀLES PAGASTS, VENTSPILS NOVADS, LV-3615",ugalesvsk@ventspilsnd.lv,63607785,DANA ŠIMPERMANE,0,207
679,VENTSPILS NOVADS,4113900543,Piltenes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LIELĀ IELA 13, PILTENE, VENTSPILS NOVADS, LV-3620",piltenesvsk@ventspilsnd.lv,63607750,EDĪTE DZIRNIECE,0,138
680,VENTSPILS NOVADS,4122901132,Annahites pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Annahites pamatskola"", STIKLI, PUZES PAGASTS, VENTSPILS NOVADS, LV-3613",stikli@ventspilsnd.lv,63630348,LIENĪTE ALSBERGA,0,13
681,VIESĪTES NOVADS,4513900262,Viesītes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VAĻŅU IELA 7, VIESĪTE, VIESĪTES NOVADS, LV-5237",viesite@latnet.lv,29491040,ANDRIS BALDUNČIKS,24,316
682,VIĻAKAS NOVADS,4212900429,Viduču pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 1, SEMENOVA, MEDŅEVAS PAGASTS, VIĻAKAS NOVADS, LV-4586",viduci@inbox.lv,"26559817, 27805493",INĀRA SOKIRKA,0,68
683,VIĻAKAS NOVADS,4212900431,Žīguru pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"PARKA IELA 9, ŽĪGURI, ŽĪGURU PAGASTS, VIĻAKAS NOVADS, LV-4584",ziguri.skola@vilaka.lv, 64521833 64521618 ,SANITA ORLOVSKA,22,39
684,VIĻAKAS NOVADS,4213900437,Rekavas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 1, REKOVA, ŠĶILBĒNU PAGASTS, VIĻAKAS NOVADS, LV-4587",rekava@inbox.lv,64522656,AINA GOLUBEVA,43,153
685,VIĻAKAS NOVADS,4219900075,Viļakas Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"PILS IELA 11, VIĻAKA, VIĻAKAS NOVADS, LV-4583",vvg_skola@inbox.lv,64507135,SARMĪTE ŠAICĀNE,0,155
686,VIĻĀNU NOVADS,4212901166,Dekšāru pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"NĀKOTNES IELA 2, DEKŠĀRES, DEKŠĀRES PAGASTS, VIĻĀNU NOVADS, LV-4614",deksaruskola@inbox.lv,64640146,DAIGA CEIPINIECE,16,51
687,VIĻĀNU NOVADS,4213900184,Viļānu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĒZEKNES IELA 1A, VIĻĀNI, VIĻĀNU NOVADS, LV-4650",vilanuvidusskola@gmail.com,"64628040, 64662917",PĒTERIS TRETJUKS,0,424
688,ZILUPES NOVADS,4213900476,Zilupes vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 1, ZILUPE, ZILUPES NOVADS, LV-5751",vidusskola@zilupe.lv,65724354,ALLA ČEKSTERE,0,238
